Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Soria,1995,4,1995T4,771.3
TOTAL NACIONAL,1995,4,1995T4,692.7
Tarragona,1995,4,1995T4,494.8
Teruel,1995,4,1995T4,475.7
Toledo,1995,4,1995T4,467.8
Valencia/València,1995,4,1995T4,469.7
Valladolid,1995,4,1995T4,679.4
Zamora,1995,4,1995T4,500.5
Zaragoza,1995,4,1995T4,644.1
Ávila,1995,4,1995T4,604.5
Albacete,1996,1,1996T1,443.0
Alicante/Alacant,1996,1,1996T1,469.5
Almería,1996,1,1996T1,460.5
Andalucía,1996,1,1996T1,507.8
Araba/Alava,1996,1,1996T1,896.1
Aragón,1996,1,1996T1,596.0
Asturias (Principado de ),1996,1,1996T1,662.2
Badajoz,1996,1,1996T1,398.4
Balears (Illes),1996,1,1996T1,589.7
Barcelona,1996,1,1996T1,881.8
Bizkaia,1996,1,1996T1,921.8
Burgos,1996,1,1996T1,737.6
Canarias,1996,1,1996T1,610.6
Cantabria,1996,1,1996T1,733.7
Castellón/Castelló,1996,1,1996T1,473.8
Castilla y León,1996,1,1996T1,618.1
Castilla-La Mancha,1996,1,1996T1,510.1
Cataluña,1996,1,1996T1,754.3
Ciudad Real,1996,1,1996T1,427.3
Comunidad Valenciana,1996,1,1996T1,496.7
Coruña (A),1996,1,1996T1,662.5
Cuenca,1996,1,1996T1,468.0
Cáceres,1996,1,1996T1,411.7
Cádiz,1996,1,1996T1,503.5
Córdoba,1996,1,1996T1,498.5
Extremadura,1996,1,1996T1,401.4
Galicia,1996,1,1996T1,600.5
Gipuzkoa,1996,1,1996T1,997.2
Girona,1996,1,1996T1,596.2
Granada,1996,1,1996T1,473.0
Guadalajara,1996,1,1996T1,644.7
Huelva,1996,1,1996T1,515.0
Huesca,1996,1,1996T1,462.3
Jaén,1996,1,1996T1,381.4
León,1996,1,1996T1,508.1
Lleida,1996,1,1996T1,500.4
Lugo,1996,1,1996T1,474.9
Madrid (Comunidad de),1996,1,1996T1,1104.5
Murcia (Región de),1996,1,1996T1,424.7
Málaga,1996,1,1996T1,507.8
Navarra (Comunidad Foral de),1996,1,1996T1,736.6
Ourense,1996,1,1996T1,637.6
Palencia,1996,1,1996T1,534.5
Palmas (Las),1996,1,1996T1,619.2
País Vasco,1996,1,1996T1,938.7
Pontevedra,1996,1,1996T1,571.7
Rioja (La),1996,1,1996T1,625.0
Salamanca,1996,1,1996T1,629.5
Santa Cruz de Tenerife,1996,1,1996T1,599.6
Segovia,1996,1,1996T1,620.1
Sevilla,1996,1,1996T1,492.8
Soria,1996,1,1996T1,734.8
TOTAL NACIONAL,1996,1,1996T1,686.0
Tarragona,1996,1,1996T1,514.8
Teruel,1996,1,1996T1,430.3
Toledo,1996,1,1996T1,457.8
Valencia/València,1996,1,1996T1,485.7
Valladolid,1996,1,1996T1,678.0
Zamora,1996,1,1996T1,510.8
Zaragoza,1996,1,1996T1,644.1
Ávila,1996,1,1996T1,585.7
Albacete,1996,2,1996T2,433.2
Alicante/Alacant,1996,2,1996T2,502.4
Almería,1996,2,1996T2,466.9
Andalucía,1996,2,1996T2,503.6
Araba/Alava,1996,2,1996T2,903.1
Aragón,1996,2,1996T2,581.1
Asturias (Principado de ),1996,2,1996T2,666.5
Badajoz,1996,2,1996T2,405.0
Balears (Illes),1996,2,1996T2,599.2
Barcelona,1996,2,1996T2,890.5
Bizkaia,1996,2,1996T2,907.1
Burgos,1996,2,1996T2,743.5
Canarias,1996,2,1996T2,613.7
Cantabria,1996,2,1996T2,728.9
Castellón/Castelló,1996,2,1996T2,487.4
Castilla y León,1996,2,1996T2,641.4
Castilla-La Mancha,1996,2,1996T2,504.2
Cataluña,1996,2,1996T2,758.1
Ciudad Real,1996,2,1996T2,428.1
Comunidad Valenciana,1996,2,1996T2,499.4
Coruña (A),1996,2,1996T2,687.0
Cuenca,1996,2,1996T2,478.7
Cáceres,1996,2,1996T2,429.0
Cádiz,1996,2,1996T2,502.0
Córdoba,1996,2,1996T2,467.1
Extremadura,1996,2,1996T2,413.1
Galicia,1996,2,1996T2,601.7
Gipuzkoa,1996,2,1996T2,1002.1
Girona,1996,2,1996T2,594.5
Granada,1996,2,1996T2,471.9
Guadalajara,1996,2,1996T2,649.6
Huelva,1996,2,1996T2,518.8
Huesca,1996,2,1996T2,485.9
Jaén,1996,2,1996T2,389.4
León,1996,2,1996T2,552.2
Lleida,1996,2,1996T2,508.1
Lugo,1996,2,1996T2,493.3
Madrid (Comunidad de),1996,2,1996T2,1070.5
Murcia (Región de),1996,2,1996T2,428.4
Málaga,1996,2,1996T2,521.2
Navarra (Comunidad Foral de),1996,2,1996T2,724.4
Ourense,1996,2,1996T2,565.8
Palencia,1996,2,1996T2,572.1
Palmas (Las),1996,2,1996T2,630.0
País Vasco,1996,2,1996T2,928.9
Pontevedra,1996,2,1996T2,560.5
Rioja (La),1996,2,1996T2,612.4
Salamanca,1996,2,1996T2,625.5
Santa Cruz de Tenerife,1996,2,1996T2,590.5
Segovia,1996,2,1996T2,667.7
Sevilla,1996,2,1996T2,506.6
Soria,1996,2,1996T2,727.8
TOTAL NACIONAL,1996,2,1996T2,697.8
Tarragona,1996,2,1996T2,499.4
Teruel,1996,2,1996T2,467.0
Toledo,1996,2,1996T2,457.8
