Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
"Rioja, La",1999,4,1999T4,728.4
Comunitat Valenciana,1999,4,1999T4,622.9
Andalucía,2000,1,2000T1,633.0
Aragón,2000,1,2000T1,787.2
"Asturias, Principado de",2000,1,2000T1,814.6
"Balears, Illes",2000,1,2000T1,1054.7
Canarias,2000,1,2000T1,914.4
Cantabria,2000,1,2000T1,879.8
Castilla y León,2000,1,2000T1,766.8
Castilla-La Mancha,2000,1,2000T1,593.9
Cataluña,2000,1,2000T1,1039.8
Comunitat Valenciana,2000,1,2000T1,673.6
Extremadura,2000,1,2000T1,476.7
Galicia,2000,1,2000T1,694.3
"Madrid, Comunidad de",2000,1,2000T1,1201.4
"Murcia, Región de",2000,1,2000T1,546.4
"Navarra, Comunidad Foral de",2000,1,2000T1,947.9
País Vasco,2000,1,2000T1,1342.1
"Rioja, La",2000,1,2000T1,755.0
Comunitat Valenciana,2000,1,2000T1,656.3
Andalucía,2000,2,2000T2,663.6
Aragón,2000,2,2000T2,815.6
"Asturias, Principado de",2000,2,2000T2,851.6
"Balears, Illes",2000,2,2000T2,1141.7
Canarias,2000,2,2000T2,952.5
Cantabria,2000,2,2000T2,886.3
Castilla y León,2000,2,2000T2,785.2
Castilla-La Mancha,2000,2,2000T2,602.2
Cataluña,2000,2,2000T2,1078.4
Comunitat Valenciana,2000,2,2000T2,691.1
Extremadura,2000,2,2000T2,477.5
Galicia,2000,2,2000T2,713.8
"Madrid, Comunidad de",2000,2,2000T2,1251.1
"Murcia, Región de",2000,2,2000T2,565.0
"Navarra, Comunidad Foral de",2000,2,2000T2,993.9
País Vasco,2000,2,2000T2,1403.2
"Rioja, La",2000,2,2000T2,798.3
Comunitat Valenciana,2000,2,2000T2,657.6
Andalucía,2000,3,2000T3,680.3
Aragón,2000,3,2000T3,848.5
"Asturias, Principado de",2000,3,2000T3,873.0
"Balears, Illes",2000,3,2000T3,1156.8
Canarias,2000,3,2000T3,972.4
Cantabria,2000,3,2000T3,944.8
Castilla y León,2000,3,2000T3,813.5
Castilla-La Mancha,2000,3,2000T3,612.8
Cataluña,2000,3,2000T3,1107.3
Comunitat Valenciana,2000,3,2000T3,710.0
Extremadura,2000,3,2000T3,488.4
Galicia,2000,3,2000T3,741.2
"Madrid, Comunidad de",2000,3,2000T3,1298.2
"Murcia, Región de",2000,3,2000T3,586.1
"Navarra, Comunidad Foral de",2000,3,2000T3,1044.4
País Vasco,2000,3,2000T3,1471.6
"Rioja, La",2000,3,2000T3,812.3
Comunitat Valenciana,2000,3,2000T3,674.9
Andalucía,2000,4,2000T4,687.3
Aragón,2000,4,2000T4,860.4
"Asturias, Principado de",2000,4,2000T4,882.9
"Balears, Illes",2000,4,2000T4,1228.6
Canarias,2000,4,2000T4,1016.6
Cantabria,2000,4,2000T4,972.4
Castilla y León,2000,4,2000T4,820.8
Castilla-La Mancha,2000,4,2000T4,622.2
Cataluña,2000,4,2000T4,1144.0
Comunitat Valenciana,2000,4,2000T4,728.9
Extremadura,2000,4,2000T4,506.8
Galicia,2000,4,2000T4,752.7
"Madrid, Comunidad de",2000,4,2000T4,1253.7
"Murcia, Región de",2000,4,2000T4,596.1
"Navarra, Comunidad Foral de",2000,4,2000T4,1068.9
País Vasco,2000,4,2000T4,1498.5
"Rioja, La",2000,4,2000T4,815.1
Comunitat Valenciana,2000,4,2000T4,695.9
Andalucía,2001,1,2001T1,726.2
Aragón,2001,1,2001T1,893.3
"Asturias, Principado de",2001,1,2001T1,897.2
"Balears, Illes",2001,1,2001T1,1247.5
Canarias,2001,1,2001T1,1048.7
Cantabria,2001,1,2001T1,1025.9
Castilla y León,2001,1,2001T1,844.2
Castilla-La Mancha,2001,1,2001T1,648.2
Cataluña,2001,1,2001T1,1178.7
Comunitat Valenciana,2001,1,2001T1,741.0
Extremadura,2001,1,2001T1,517.7
Galicia,2001,1,2001T1,767.6
"Madrid, Comunidad de",2001,1,2001T1,1321.8
"Murcia, Región de",2001,1,2001T1,620.9
